Batch_ID,Date,Raw_Material,Processing_Center,Inbound_Weight_KG,Processing_Waste_KG,Net_Yield_KG,Financial_Loss_INR
HS-BATCH-1001,2026-05-01,Herbal Extract,Center-A,2906,393,2513,58950
HS-BATCH-1002,2026-05-01,Nutraceutical Base,Center-A,4086,246,3840,30750
HS-BATCH-1003,2026-05-01,Ginger,Center-A,5580,507,5073,20280
HS-BATCH-1004,2026-05-01,Herbal Extract,Center-B,3075,485,2590,72750
HS-BATCH-1005,2026-05-01,Herbal Extract,Center-B,1713,259,1454,38850
HS-BATCH-1006,2026-05-01,Nutraceutical Base,Center-C,2062,88,1974,11000
HS-BATCH-1007,2026-05-01,Ginger,Center-C,2976,300,2676,12000
HS-BATCH-1008,2026-05-01,Ginger,Center-C,2296,284,2012,11360
HS-BATCH-1009,2026-05-01,Herbal Extract,Center-B,1125,177,948,26550
HS-BATCH-1010,2026-05-01,Turmeric,Center-B,5632,386,5246,19300
HS-BATCH-1011,2026-05-01,Herbal Extract,Center-C,4596,664,3932,99600
HS-BATCH-1012,2026-05-01,Herbal Extract,Center-C,4283,542,3741,81300
HS-BATCH-1013,2026-05-01,Herbal Extract,Center-B,2603,415,2188,62250
HS-BATCH-1014,2026-05-01,Herbal Extract,Center-C,1066,137,929,20550
HS-BATCH-1015,2026-05-01,Nutraceutical Base,Center-A,1232,84,1148,10500
HS-BATCH-1016,2026-05-01,Ginger,Center-B,3156,354,2802,14160
HS-BATCH-1017,2026-05-01,Nutraceutical Base,Center-C,2169,126,2043,15750
HS-BATCH-1018,2026-05-01,Nutraceutical Base,Center-B,3158,174,2984,21750
HS-BATCH-1019,2026-05-01,Nutraceutical Base,Center-A,5206,244,4962,30500
HS-BATCH-1020,2026-05-01,Herbal Extract,Center-B,2493,316,2177,47400
HS-BATCH-1021,2026-05-01,Turmeric,Center-B,5718,336,5382,16800
HS-BATCH-1022,2026-05-01,Ginger,Center-B,5007,447,4560,17880
HS-BATCH-1023,2026-05-01,Turmeric,Center-B,3472,281,3191,14050
HS-BATCH-1024,2026-05-01,Nutraceutical Base,Center-A,3660,184,3476,23000
HS-BATCH-1025,2026-05-02,Nutraceutical Base,Center-B,3739,156,3583,19500
HS-BATCH-1026,2026-05-02,Turmeric,Center-B,2761,245,2516,12250
HS-BATCH-1027,2026-05-02,Turmeric,Center-C,4514,385,4129,19250
